instance_id,repo,small_model_resolved,large_model_resolved
astropy__astropy-12907,astropy/astropy,true,true
astropy__astropy-13033,astropy/astropy,false,false
astropy__astropy-13236,astropy/astropy,false,false
astropy__astropy-13398,astropy/astropy,false,false
astropy__astropy-13453,astropy/astropy,true,true
astropy__astropy-13579,astropy/astropy,true,true
astropy__astropy-13977,astropy/astropy,false,false
astropy__astropy-14096,astropy/astropy,true,true
astropy__astropy-14182,astropy/astropy,false,false
astropy__astropy-14309,astropy/astropy,true,true
astropy__astropy-14365,astropy/astropy,false,false
astropy__astropy-14369,astropy/astropy,false,true
astropy__astropy-14508,astropy/astropy,true,true
astropy__astropy-14539,astropy/astropy,true,true
astropy__astropy-14598,astropy/astropy,false,false
astropy__astropy-14995,astropy/astropy,true,true
astropy__astropy-7166,astropy/astropy,false,true
astropy__astropy-7336,astropy/astropy,true,true
astropy__astropy-7606,astropy/astropy,false,false
astropy__astropy-7671,astropy/astropy,true,true
astropy__astropy-8707,astropy/astropy,false,false
astropy__astropy-8872,astropy/astropy,false,false
django__django-10097,django/django,false,false
django__django-10554,django/django,false,false
django__django-10880,django/django,true,true
django__django-10914,django/django,true,true
django__django-10973,django/django,true,true
django__django-10999,django/django,false,false
django__django-11066,django/django,true,true
django__django-11087,django/django,false,false
django__django-11095,django/django,true,true
django__django-11099,django/django,true,true
django__django-11119,django/django,true,true
django__django-11133,django/django,true,true
django__django-11138,django/django,false,false
django__django-11141,django/django,false,false
django__django-11149,django/django,false,false
django__django-11163,django/django,true,true
django__django-11179,django/django,true,true
django__django-11206,django/django,true,false
django__django-11211,django/django,false,true
django__django-11239,django/django,false,true
django__django-11265,django/django,false,false
django__django-11276,django/django,true,true
django__django-11292,django/django,true,true
django__django-11299,django/django,true,true
django__django-11333,django/django,false,false
django__django-11400,django/django,false,false
django__django-11433,django/django,false,false
django__django-11451,django/django,false,true
django__django-11477,django/django,false,false
django__django-11490,django/django,true,true
django__django-11532,django/django,false,true
django__django-11551,django/django,true,true
django__django-11555,django/django,false,true
django__django-11603,django/django,true,true
django__django-11728,django/django,true,false
django__django-11734,django/django,false,false
django__django-11740,django/django,false,true
django__django-11749,django/django,true,true
django__django-11790,django/django,false,false
django__django-11815,django/django,false,true
django__django-11820,django/django,false,false
django__django-11848,django/django,true,false
django__django-11880,django/django,true,true
django__django-11885,django/django,false,false
django__django-11951,django/django,false,true
django__django-11964,django/django,false,false
django__django-11999,django/django,true,true
django__django-12039,django/django,true,true
django__django-12050,django/django,true,true
django__django-12125,django/django,false,false
django__django-12143,django/django,true,true
django__django-12155,django/django,true,true
django__django-12193,django/django,false,false
django__django-12209,django/django,false,true
django__django-12262,django/django,false,true
django__django-12273,django/django,false,false
django__django-12276,django/django,false,true
django__django-12304,django/django,false,true
django__django-12308,django/django,false,false
django__django-12325,django/django,true,true
django__django-12406,django/django,false,false
django__django-12419,django/django,true,true
django__django-12663,django/django,false,true
django__django-12708,django/django,true,true
django__django-12713,django/django,true,true
django__django-12741,django/django,true,true
django__django-12754,django/django,false,true
django__django-12774,django/django,true,true
django__django-12858,django/django,true,true
django__django-12965,django/django,false,true
django__django-13012,django/django,true,true
django__django-13023,django/django,true,true
django__django-13028,django/django,true,true
django__django-13033,django/django,true,true
django__django-13089,django/django,true,true
django__django-13109,django/django,false,true
django__django-13112,django/django,false,true
django__django-13121,django/django,false,true
django__django-13128,django/django,true,true
django__django-13158,django/django,true,true
django__django-13195,django/django,false,false
django__django-13212,django/django,false,false
django__django-13279,django/django,true,true
django__django-13297,django/django,true,true
django__django-13315,django/django,true,true
django__django-13343,django/django,true,true
django__django-13344,django/django,false,false
django__django-13346,django/django,true,true
django__django-13363,django/django,true,true
django__django-13401,django/django,false,true
django__django-13406,django/django,true,true
django__django-13410,django/django,true,true
django__django-13417,django/django,true,true
django__django-13449,django/django,true,false
django__django-13512,django/django,true,false
django__django-13513,django/django,false,false
django__django-13516,django/django,false,true
django__django-13551,django/django,true,true
django__django-13568,django/django,false,false
django__django-13569,django/django,false,true
django__django-13590,django/django,true,true
django__django-13658,django/django,true,true
django__django-13670,django/django,true,true
django__django-13741,django/django,true,true
django__django-13786,django/django,true,true
django__django-13794,django/django,false,false
django__django-13807,django/django,false,true
django__django-13809,django/django,true,true
django__django-13810,django/django,false,true
django__django-13820,django/django,true,true
django__django-13821,django/django,true,true
django__django-13837,django/django,true,true
django__django-13925,django/django,true,true
django__django-13933,django/django,true,true
django__django-13964,django/django,true,false
django__django-14007,django/django,false,true
django__django-14011,django/django,false,false
django__django-14017,django/django,true,true
django__django-14034,django/django,false,false
django__django-14053,django/django,true,false
django__django-14089,django/django,true,true
django__django-14122,django/django,true,true
django__django-14140,django/django,false,true
django__django-14155,django/django,false,false
django__django-14170,django/django,false,false
django__django-14238,django/django,true,true
django__django-14311,django/django,true,true
django__django-14315,django/django,false,false
django__django-14349,django/django,true,true
django__django-14351,django/django,true,false
django__django-14373,django/django,true,true
django__django-14376,django/django,false,false
django__django-14404,django/django,false,false
django__django-14434,django/django,true,true
django__django-14493,django/django,true,true
django__django-14500,django/django,true,true
django__django-14534,django/django,false,false
django__django-14539,django/django,true,true
django__django-14559,django/django,false,true
django__django-14580,django/django,true,true
django__django-14608,django/django,true,true
django__django-14631,django/django,false,true
django__django-14672,django/django,true,true
django__django-14725,django/django,false,false
django__django-14752,django/django,true,true
django__django-14765,django/django,true,true
django__django-14771,django/django,false,true
django__django-14787,django/django,true,true
django__django-14792,django/django,false,false
django__django-14855,django/django,true,true
django__django-14915,django/django,true,true
django__django-14999,django/django,true,false
django__django-15022,django/django,false,true
django__django-15037,django/django,true,true
django__django-15098,django/django,false,false
django__django-15103,django/django,true,true
django__django-15104,django/django,true,true
django__django-15127,django/django,false,false
django__django-15128,django/django,false,false
django__django-15161,django/django,true,true
django__django-15252,django/django,false,false
django__django-15268,django/django,true,true
django__django-15277,django/django,true,true
django__django-15278,django/django,true,true
django__django-15280,django/django,false,false
django__django-15315,django/django,true,true
django__django-15368,django/django,true,true
django__django-15375,django/django,true,true
django__django-15380,django/django,true,true
django__django-15382,django/django,true,true
django__django-15467,django/django,true,true
django__django-15499,django/django,true,true
django__django-15503,django/django,false,false
django__django-15525,django/django,true,true
django__django-15554,django/django,false,false
django__django-15561,django/django,false,true
django__django-15563,django/django,true,true
django__django-15569,django/django,true,true
django__django-15572,django/django,true,true
django__django-15629,django/django,false,false
django__django-15695,django/django,false,false
django__django-15731,django/django,true,true
django__django-15732,django/django,false,false
django__django-15741,django/django,true,true
django__django-15814,django/django,true,true
django__django-15851,django/django,true,true
django__django-15863,django/django,true,true
django__django-15916,django/django,false,true
django__django-15930,django/django,true,true
django__django-15957,django/django,false,false
django__django-15973,django/django,false,false
django__django-15987,django/django,true,true
django__django-16032,django/django,false,true
django__django-16082,django/django,true,true
django__django-16100,django/django,false,true
django__django-16116,django/django,true,true
django__django-16136,django/django,true,true
django__django-16139,django/django,true,true
django__django-16145,django/django,true,true
django__django-16255,django/django,true,true
django__django-16256,django/django,false,false
django__django-16263,django/django,false,false
django__django-16315,django/django,true,true
django__django-16333,django/django,true,true
django__django-16429,django/django,true,true
django__django-16454,django/django,false,true
django__django-16485,django/django,true,true
