instance_id,repo,model,ran,exit_status,api_calls,cost_usd,patch_chars,patch_ok
matplotlib__matplotlib-22711,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-22835,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23299,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23314,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23476,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23562,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23563,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23913,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23964,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-23987,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-24149,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-24265,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-24334,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-24970,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25079,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25311,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25332,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25433,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25442,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-25498,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-26011,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
matplotlib__matplotlib-26020,matplotlib/matplotlib,72b,NEVER_RAN,,,,0,False
pydata__xarray-4094,pydata/xarray,72b,NEVER_RAN,,,,0,False
pydata__xarray-4248,pydata/xarray,72b,NEVER_RAN,,,,0,False
pydata__xarray-4493,pydata/xarray,72b,NEVER_RAN,,,,0,False
pydata__xarray-5131,pydata/xarray,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-5859,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-6506,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-7080,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-7114,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-7228,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pylint-dev__pylint-7993,pylint-dev/pylint,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-11143,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-11148,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5103,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5221,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5227,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5413,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5495,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-5692,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-6116,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-7168,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-7220,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-7373,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-7432,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-7490,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-8365,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-8906,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
pytest-dev__pytest-9359,pytest-dev/pytest,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-10949,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-11040,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-11281,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-12471,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13241,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13497,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13584,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-14092,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-15512,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-15535,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-25500,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-25570,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-25638,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-10325,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-10451,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-7686,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-7738,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-7975,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8273,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8435,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8474,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8506,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8627,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8713,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sphinx-doc__sphinx-8801,sphinx-doc/sphinx,72b,NEVER_RAN,,,,0,False
sympy__sympy-11400,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-11870,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-11897,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-12171,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-12236,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-12419,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-12454,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-12481,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13031,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13043,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13146,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13177,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13437,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13471,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13480,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13647,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13773,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13895,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13915,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-13971,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14024,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14308,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14317,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14396,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14774,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-14817,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-15011,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-15308,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-15345,sympy/sympy,72b,NEVER_RAN,,,,0,False
sympy__sympy-15346,sympy/sympy,72b,NEVER_RAN,,,,0,False
