model,instance,resolved,applied,f2p_pass,f2p_fail
72b,astropy__astropy-14182,False,True,0,1
72b,astropy__astropy-6938,False,True,0,2
72b,astropy__astropy-7746,False,True,0,1
72b,django__django-10914,False,True,0,1
72b,django__django-10924,False,True,0,1
72b,django__django-11049,False,True,0,1
72b,django__django-11179,False,True,0,1
72b,django__django-11564,False,True,0,2
72b,django__django-11905,False,True,0,2
72b,django__django-12286,True,True,1,0
72b,django__django-12308,False,True,0,2
72b,django__django-12497,True,True,2,0
72b,django__django-12747,False,True,0,3
72b,django__django-12983,False,True,0,1
72b,django__django-13230,False,True,0,1
72b,django__django-13265,False,True,0,4
72b,django__django-13447,False,True,0,1
72b,django__django-13448,False,True,0,1
72b,django__django-13551,False,True,0,2
72b,django__django-13658,True,True,1,0
72b,django__django-13660,False,True,0,2
72b,django__django-13710,False,True,0,1
72b,django__django-13757,False,True,0,1
72b,django__django-14017,False,True,0,2
72b,django__django-14155,False,True,0,3
72b,django__django-14238,False,True,0,2
72b,django__django-14382,True,True,1,0
72b,django__django-14608,False,True,0,4
72b,django__django-14787,False,True,0,1
72b,django__django-14999,False,True,0,1
72b,django__django-15202,False,True,0,2
72b,django__django-15252,False,True,0,2
72b,django__django-15347,True,True,1,0
72b,django__django-15400,False,True,1,1
72b,django__django-15498,False,True,0,1
72b,django__django-15695,False,True,0,1
72b,django__django-15781,False,True,0,1
72b,django__django-15819,False,True,0,1
72b,django__django-15851,True,True,1,0
72b,django__django-15902,False,True,0,1
72b,django__django-16046,False,True,0,1
72b,django__django-16139,True,True,1,0
72b,django__django-16229,False,True,0,1
72b,django__django-16255,True,True,1,0
72b,django__django-16379,False,True,0,2
72b,django__django-16527,True,True,1,0
72b,django__django-16595,False,True,1,0
72b,django__django-16873,True,True,2,0
72b,django__django-16910,False,True,0,2
72b,matplotlib__matplotlib-18869,False,True,0,4
72b,mwaskom__seaborn-3190,False,True,0,1
72b,psf__requests-1963,False,True,6,1
72b,psf__requests-2674,False,True,0,12
72b,psf__requests-863,False,True,4,0
72b,pydata__xarray-3364,False,True,0,2
7b,astropy__astropy-12907,False,True,0,2
7b,astropy__astropy-14365,False,True,0,1
7b,django__django-10914,True,True,1,0
7b,django__django-11039,True,True,1,0
7b,django__django-11742,False,True,0,2
7b,django__django-11905,False,True,0,2
7b,django__django-11910,False,True,0,1
7b,django__django-12497,False,True,0,2
7b,django__django-12708,False,True,0,1
7b,django__django-12747,False,True,0,3
7b,django__django-12915,False,True,0,3
7b,django__django-13321,False,True,0,355
7b,django__django-13757,False,True,0,1
7b,django__django-14017,False,True,0,2
7b,django__django-14534,False,True,0,2
7b,django__django-14672,False,True,0,168
7b,django__django-14730,False,True,0,1
